Row Labels,ZurendaJ
Abc,
"ACCOUNTING,AUDITING AND BOOKKEEPING SERVICES",
ADVANTAGE RENT A CAR,
ADVERTISING SERVICES,
AER LINGUS,
AEROLINEAS ARGENTINAS,
AEROMEXICO,
AGRICULTURAL COOPERATIVES,4.0
AIR BERLIN,
AIR CANADA,
AIR CHINA,
AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS,
AIR FRANCE,
AIR INDIA,
AIR NEW ZEALAND LTD. INTERNATIONAL,
AIRLINES AND AIR CARRIERS,
"AIRPORTS,FLYING FIELDS,AND AIRPORT TERMINALS",
AIRTRAN AIRWAYS,
ALAMO RENT-A-CAR,
ALASKA AIRLINES INC.,
ALITALIA,
ALOFT HOTELS,
AMBULANCE SERVICES,
AMERICAN AIRLINES,
AMERICAS BEST VALUE INN,
AMERICINN,
"AMUSEMENT PRKS,CIRCUSES,CARNIVLS,AND FORTUNE TELLERS",
ANTIQUE SHOPS,
"AQUARIUMS,SEAQUARIUMS AND DOLPHINARIUMS",
"ARCHITECTURAL,ENGINEERING,AND SURVEYING SERVICES",
ARIA,
ARIZONA BILTMORE,
ART DEALERS AND GALLERIES,
ARTIST SUPPLY AND CRAFT STORES,
ASIANA AIRLINES,
AUTOMATED FUEL DISPENSER,
AUTOMOBILE ASSOCIATIONS,
AUTOMOBILE RENTAL AGENCY,
AUTOMOTIVE PAINT SHOPS,
AUTOMOTIVE PARTS AND ACCESSORIES STORES,
AUTOMOTIVE REPAIR SHOPS (NON-DEALER),
AUTOMOTIVE TIRE STORES,
AUTOMOTIVE TOP AND BODY SHOPS,
AVIANCA,
AVIS RENT-A-CAR,
BAKERIES,
BALLY'S HOTEL AND CASINO,
"BANDS,ORCHESTRAS,ENTERTAINERS",
BEAU RIVAGE HOTEL AND CASINO,
BEAUTY AND BARBER SHOPS,
BEST WESTERN,
BICYCLE SHOPS-SALES AND SERVICE,
BOAT DEALERS,
BOAT RENTALS AND LEASING,
BOOK STORES,
"BOOKS, PERIODICALS AND NEWSPAPERS",
BOWLING ALLEYS,
BRITISH AIRWAYS,
BROADMOOR HOTEL,
BUDGET RENT-A-CAR,
"BUS LINES,CHARTERS,TOUR BUSES",
BUSINESS AND SECRETARIAL SCHOOLS,
BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED,
BUYING AND SHOPPING SERVICES AND CLUBS,
"CABLE, SATELLITE, AND OTHER PAY TELEVISION AND RADIO SERVICES",
CAESAR'S HOTEL AND CASINO,
CAMERA AND PHOTOGRAPHIC SUPPLY STORES,
"CAMPER,RECREATIONAL AND UTILITY TRAILER DEALERS",
CANDLEWOOD SUITES,
"CANDY,NUT, AND CONFECTIONERY STORES",
CAR AND TRUCK DEALERS (NEW AND USED),
CAR AND TRUCK DEALERS (USED ONLY),
CAR WASHES,
CARIBBEAN AIRLINES,
CARPENTRY,
CARPET AND UPHOLSTERY CLEANING,
CATALOG MERCHANTS,
CATERERS,
CATHAY PACIFIC,
CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS,
CHATEAU ELAN WINERY AND RESORT,
CHEMICALS AND ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,
CHILD CARE SERVICES,
CHILDREN'S AND INFANT'S WEAR STORES,
CHINA EASTERN AIRLINES,
CHIROPRACTORS,
CIGAR STORES AND STANDS,
CIRCUS CIRCUS HOTEL AND CASINO,
"CIVIC,SOCIAL AND FRATERNAL ASSOCIATIONS",
CLARION HOTEL,
"CLEANING AND MAINTENANCE,JANITORIAL SERVICES",
"CLOTHING RENTAL--COSTUMES,UNIFORMS,AND FORMAL WEAR",
COAST HOTELS,
"COLLEGES,UNIVERSITIES,PROFESSIONAL SCHLS AND JR COLLEGES",
COMBINATION CATALOG AND RETAIL MERCHANT,
COMFORT HOTEL INTERNATIONAL,
"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",
COMMERCIAL FOOTWARE,
COMMERCIAL FURNITURE,
"COMMERCIAL PHOTOGRAPHY,ART,AND GRAPHICS",
"COMMERCIAL SPORTS,PRO SPTS CLBS,ATH FLDS,AND SPTS PROMO",
"COMP PROG,DATA PROCESSING,AND INTEGRATED SYS DES IGN SVCS",
"COMPUTER MAINTENANCE, REPAIR AND SERVICES NOT ELSEWHERE CLAS",
COMPUTER NETWORK/INFORMATION SERVICES,
COMPUTER SOFTWARE STORES,
"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",
CONRAD HOTELS,
CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED,
CONSUMER CREDIT REPORTING AGENCIES,
CONTINUITY/SUBSCRIPTION MERCHANTS,
"CONTRACTORS,CONCRETE WORK",
CORRESPONDENCE SCHOOLS,
COSMETIC STORES,
Cosmopolitan of Las Vegas,
"COUNSELING SERVICES--DEBT,MARRIAGE,PERSONAL",
COUNTRY INN BY CARLSON,
"COURIER SERVICES-AIR AND GROUND,AND FREIGHT FORWARDERS",
COURT COST INCLUDING ALIMONY AND CHILD SUPPORT,
COURTYARD BY MARRIOTT,
CROWNE PLAZA HOTELS,
DAIRY PRODUCTS STORES,
"DANCE HALLS,STUDIOS,AND SCHOOLS",
DAYS INNS OF AMERICA,
DELTA,
DENTAL/LABORATORY/MEDICAL/OPHTHALMIC HOSP EQIP AND SUP.,
DENTISTS AND ORTHODONTISTS,
DEPARTMENT STORES,
"DETECTIVE AGENCIES,PROTECTIVE AGENCIES,AND SECURITY SERVICES",
DIRCT MARKETING/DIRCT MARKETERS--NOT ELSEWHERE CLASSIFIED,
DIRECT MARKETING--INBOUND TELEMARKETING MERCHANTS,
"DIRECT SELLING ESTABLISHMENTS,DOOR TO DOOR SALES",
DISCOUNT STORES,
DISNEY RESORTS,
DOCTORS AND PHYSICIANS--NOT ELSEWHERE CLASSIFIED,
DOLLAR RENT-A-CAR,
DOUBLETREE HOTEL,
"DRAPERY,WINDOW COVERING,AND UPHOLSTERY STORES",
DRINKING PLACES (ALCOHOLIC BEVERAGES),
DRUG STORES AND PHARMACIES,
"DRUGS, DRUG PROPRIETARIES, AND DRUGGISTS SUNDRIES",
DRURY INN,
DRY CLEANERS,
"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED",
DVD/VIDEO TAPE RENTAL STORES,
EASYJET,
EATING PLACES AND RESTAURANTS,
ECONO-TRAVEL MOTOR HOTEL,
ELDORADO HOTEL AND CASINO,
ELECTRICAL AND SMALL APPLIANCE REPAIR SHOPS,
ELECTRICAL CONTRACTORS,
ELECTRICAL PARTS AND EQUIPMENT,
ELECTRONICS STORES,
ELEMENTARY AND SECONDARY SCHOOLS,
EMBASSY SUITES,
EMIRATES AIRLINES,
EMPLOYMENT AGENCIES AND TEMPORARY HELP SERVICES,
ENTERPRISE RENT-A-CAR,
"EQUIP, TOOL, FURNITURE, AND APPLIANCE RENTAL AND LEASING",
ETHIOPIAN AIRLINES,
EUROP CAR,
EXCALIBUR HOTEL AND CASINO,
EXTENDED STAY,
EXTENDED STAY AMERICA,
EXTERMINATING AND DISINFECTING SERVICES,
FAIRFIELD INN,
FAIRMONT HOTELS CORP.,
FAMILY CLOTHING STORES,
FAST FOOD RESTAURANTS,
FINANCIAL INSTITUTIONS--MERCHANDISE AND SERVICES,
FINES,
FINNAIR,
"FIREPLACES,FIREPLACE SCREENS AND ACCESSORIES STORES",
"FLOOR COVERING,RUG AND CARPET STORES",
FLORISTS,
"FLORISTS SUPPLIES, NURSERY STOCK & FLOWERS",
FOUR POINTS HOTELS,
FOUR SEASONS,
FREEZER AND LOCKER MEAT PROVISIONERS,
FREMONT HOTEL AND CASINO,
FRONTIER AIRLINES,
"FUEL DEALERS--FUEL OIL,WOOD,COAL,AND LIQ. PETROLEUM",2.0
FUNERAL SERVICES AND CREMATORIES,
"FURNITURE,HOME FURNISHINGS AND EQUIPMENT STORES",
"FURNITURE--REUPHOLSTERY,REPAIR,AND REFINISHING",
GAYLORD OPRYLAND,
GAYLORD PALMS,
GENERAL CONTRACTORS-RESIDENTIAL AND COMMERCIAL,
"GIFT,CARD,NOVELTY,AND SOUVENIR STORES",
"GLASS,PAINT,AND WALLPAPER STORES",
GLASSWARE AND CRYSTAL STORES,
GOLDEN NUGGET,
GOVERNMENT SERVICES--NOT ELSEWHERE CLASSIFIED,
"GROCERY STORES,AND SUPERMARKETS",
GULF AIR,
HAMPTON INNS,
HARDWARE EQUIPMENT AND SUPPLIES,
HARDWARE STORES,1.0
HARRAH'S HOTELS AND CASINOS,
HAWAIIAN AIR,
HEALTH AND BEAUTY SPAS,
"HEARING AIDS--SALES,SERVICE,AND SUPPLIES",
"HEATING,PLUMBING,AND AIR CONDITIONING CONTRACTORS",
HERTZ,
HILTON GARDEN INN,
HILTON HOTELS,
"HOBBY,TOY,AND GAME STORES",
HOLIDAY INNS,
HOME SUPPLY WAREHOUSE STORES,
HOMEWOOD SUITES,
HOSPITALS,
HOTEL DEL CORONADO,
HOTEL INDIGO GALLERIA HOUSTON,
HOUSEHOLD APPLIANCE STORES,
HOWARD JOHNSON,
HYATT HOTELS/INT'L,
HYATT PLACE,
IBERIA,
IBIS-SPHERE SA,
ICELANDAIR,
INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,
INFORMATION RETRIEVAL SERVICES,
INSURANCE-SALES & UNDERWRITING,
INTERCONTINENTAL,
ISLAND AIRLINES,
JAPAN AIR LINES,
JET AIR,
JETBLUE AIRWAYS,
"JEWELRY,WATCH,CLOCK,AND SILVERWARE STORES",
KENYA AIRWAYS,
KNIGHTS INN,
KOREAN AIRLINES,
LA QUINTA MOTOR INNS,
LA QUINTA RESORT,
LAN-CHILE,
LANDSCAPING AND HORTICULTURAL SERVICES,
LAUNDRY SERVICES--FAMILY AND COMMERCIAL,
"LAUNDRY,CLEANING,AND GARMENT SERVICES",
LEGAL SERVICES AND ATTORNEYS,
"LOCAL AND SUBURBAN COMMUTER PASS TRANS, INCLUDING FEE",
"LODGING--HOTELS,MOTELS,AND RESORTS",
LOEWS HOTELS,
LOT (POLISH AIRLINES),
LUFTHANSA GERMAN AIRLINES,
LUGGAGE AND LEATHER GOODS STORES,
LUMBER AND BUILDING MATERIALS STORES,
LUXOR HOTEL AND CASINO,
MALAYSIAN AIRLINE SYSTEM,
"MANAGEMENT,CONSULTING AND PUBLIC RELATIONS SERVICES",
MANDALAY BAY RESORT,
MANDARIN INT'L,
"MARINAS,MARINE SERVICE,AND SUPPLIES",
MARRIOTT,
"MASONRY,STONEWORK,TILE SET,PLSTRING,AND INSULATION CONTRCTRS",
MEDICAL AND DENTAL LABORATORIES,
MEDICAL SERVICES & HEALTH PRACTITIONERS NOT ELSEWHERE CL,
"MEMBERSHIP CLUBS,(SPORTS,RECREATION,ATHLETIC)",
MEMBERSHIP ORGANIZATIONS--NOT ELSEWHERE CLASSIFIED,
MEN'S AND BOY'S CLOTHING AND ACCESSORY STORES,
MEN'S AND WOMEN'S CLOTHING STORES,
"MENS, WOMENS AND CHILDRENS UNIFORMS AND COMMERCIAL CLOTHING",
MERIDIEN,
METAL SERVICE CENTERS AND OFFICES,
MGM GRAND HOTEL,
MICROTEL INN AND SUITES,
MIDDLE EAST AIR,
MILLENNIUM HOTELS,
MIRAGE HOTEL AND CASINO,
"MISC. AUTOMOTIVE,AIRCRAFT,AND FARM EQUIPMENT DEALERS",
MISCELLANEOUS AND SPECIALTY RETAIL STORES,1.0
MISCELLANEOUS APPAREL AND ACCESSORY STORES,
MISCELLANEOUS FOOD STORES-CONV STRS AND SPECIALTY MKTS.,
MISCELLANEOUS GENERAL MERCHANDISE,
MISCELLANEOUS HOME FURNISHING SPECIALTY STORES,
MISCELLANEOUS PERSONAL SERVICES--NOT ELSEWHERE CLASSIFIED,1.0
MISCELLANEOUS PUBLISHING AND PRINTING SERVICES,
MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,
MOBILE HOME DEALERS,
MONTE CARLO HOTEL AND CASINO,
MOTEL 6,
MOTION PICTURE AND VIDEO TAPE PRODUCTION AND DISTRIBUTION,
MOTION PICTURE THEATERS,
"MOTOR FREIGHT CARRIERS,AND TRUCKING",
MOTOR HOME AND RECREATIONAL VEHICLE RENTAL,
MOTOR HOMES DEALERS,
MOTOR VEHICLE SUPPLIES AND NEW PARTS,
MOTORCYCLE DEALERS,
"MUSIC STORES-MUSICAL INSTRUMENTS,PIANOS,AND SHEET MUSIC",
NATIONAL CAR RENTAL,
NEWS DEALERS AND NEWSSTANDS,
NON-DURABLE GOODS NOT ELSEWHERE CLASSIFIED,
NOVOTEL SIEH (ACCOR),
"NURSERIES,LAWN AND GARDEN SUPPLY STORES",
"OFFICE, PHOTOGRAPHIC, PHOTOCOPY, AND MICROFILM EQUIPMENT",
OMNI INTERNATIONAL,
OPTICIANS AND DISPENSING,
OPTOMETRISTS AND OPTHAMOLOGISTS,
ORTHOPEDIC GOODS AND PROSTHETIC DEVICES,
OTHER FEES,
"PACKAGE STORES--BEER,WINE,AND LIQUOR",
"PAINTS, VARNISHES AND SUPPLIES",
PAKISTAN INTERNATIONAL,
PARIS LAS VEGAS HOTEL,
PARKING LOTS AND GARAGES,
PASSENGER RAILWAYS,
PAWN SHOPS,
PAYLESS CAR RENTAL,
PEABODY HOTELS,
"PET SHOPS,PET FOOD AND SUPPLIES",
PETROLEUM AND PETROLEUM PRODUCTS,
"PHOTOFINISHING LABORATORIES,PHOTO DEVELOPING",
"PHOTOGRAPHIC STUDIOS,PORTRAITS",
"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS",
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES,1.0
POLITICAL ORGANIZATIONS,
POSTAGE STAMPS,
"PRECIOUS STONES AND METALS, WATCHES & JEWELRY",
PRIMADONNA HOTEL AND CASINO,
PROFESSIONAL SERVICES NOT ELSEWHERE CLASSIFIED,
PROTEA HOTELS,
PUBLIC GOLF COURSES,
PUBLIC WAREHOUSING,
QATAR AIRWAYS,
QUALITY INT'L,
QUANTAS,
QUICK-COPY AND REPRODUCTION SERVICES,
"RADIO,TELEVISION AND STEREO REPAIR SHOPS",
RADISSON HOTELS,
RAILROADS,
RAMADA INNS,
REAL ESTATE AGENTS AND MANAGERS - RENTALS,
RECORD STORES,
RECREATION SERVICES--NOT ELSEWHERE CLASSIFIED,
RED ROOF INNS,
RELIGIOUS GOODS STORES,
RELIGIOUS ORGANIZATIONS,
RENAISSANCE HOTELS,
RESIDENCE INN,
RIO SUITES,
RIVIERA HOTEL AND CASINO,
"ROOFING,SIDING,AND SHEET METAL WORK CONTRACTORS",
ROSEN HOTEL AND RESORTS,
ROYAL AIR MAROC,
SAM'S TOWN HOTEL AND CASINO,
SAS HOTELS RADISSON,
SCANDINAVIAN AIRLINE SYSTEM (SAS),
SCHOOLS AND EDUCATIONAL SERVICES NOT ELSEWHERE CLASSIFIED,
SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES,
"SEWING,NEEDLEWORK,FABRIC AND PIECE GOODS STORES",
SHERATON,
"SHOE REPR SHPS,SHOE SHINE PARLRS,AND HAT CLEANING SHPS",
SHOE STORES,
SILVER LEGACY HOTEL AND CASINO,
SINGAPORE AIRLINES,
SIXT CAR RENTAL,
SLEEP INN,
SONESTA INT'L HOTELS,
SOUTH AFRICAN AIRWAYS,
SOUTHWEST AIRLINES,
SPECIAL TRADE CONTRACTORS--NOT ELSEWHERE CLASSIFIED,
"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",
SPIRIT AIRLINES,
SPORTING AND RECREATIONAL CAMPS,
SPORTING GOODS STORES,
SPORTS AND RIDING APPAREL STORES,
SPRINGHILL SUITES,
ST. REGIS HOTEL,
STAMP AND COIN STORES,
"STATIONERY, OFFICE SUPPLIES, PRINTING AND WRITING PAPER",
"STATIONERY,OFFICE AND SCHOOL SUPPLY STORES",
STAYBRIDGE SUITES,
STENOGRAPHIC SERVICES,
SUPER 8 MOTEL,
SURINAM AIRWAYS,
"SWIMMING POOLS-SALES,SUPPLIES,SERVICES",
SWISS INTERNATIONAL AIR LINES,
SWISSOTEL,
TACA INTERNATIONAL,
"TAILORS,SEAMSTRESS,MENDING,ALTERATIONS",
TAJ HOTELS INT'L,
TAM AIRLINES,
TAP AIR PORTUGAL (TAP),
TAROM ROMANIAN AIR TRANSPORT,
TAX PAYMENTS,
TAXICABS AND LIMOUSINES,
TELECOMMUNICATION EQUIPMENT AND TELEPHONE SALES,
TELECOMMUNICATION SERVICES,
TESTING LABORATORIES (NON-MEDICAL),
THAI AIRWAYS,
THE FLAMINGO HOTELS,
THE PHOENICIAN,
THE RITZ CARLTON,
THE VENETIAN RESORT HOTEL CASINO,
"THEATRICAL PRODUCERS (EXCEPT MOTION PICTURES), TICKET AGNC",
THRIFTY CAR RENTAL,
THUNDERBIRD/RED LION,
TIRE RETREADING AND REPAIR SHOPS,
TOLLS AND BRIDGE FEES,
TOURIST ATTRACTIONS AND EXHIBITS,
TOWING SERVICES,
TOWNEPLACE SUITES,
TRADE AND VOCATIONAL SCHOOLS,
TRAILER PARKS AND CAMPGROUNDS,
TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,
TRAVEL AGENCIES,
TREASURE ISLAND HOTEL AND CASINO,
TROPICANA RESORT AND CASINO,
TRUCK AND UTILITY TRAILER RENTALS,
TURK HAVA YOLLARI (THY),
"TYPESETTING, PLATE MAKING & RELATED SERVICES",
"TYPEWRITER STORES-SALES,SERVICE,RENTALS",
UNITED AIRLINES,
USAIRWYS,
USED MERCHANDISE AND SECONDHAND STORES,
"UTILITIES - ELECTRIC,GAS,WATER,SANITARY",
VAGABOND HOTELS,
VARIETY STORES,
VDARA,
VETERINARY SERVICES,
VIDEO AMUSEMENT GAME SUPPLIES,
VIDEO GAME ARCADES AND ESTABLISHMENTS,
VIRGIN AMERICA,
VIRGIN ATLANTIC,
W HOTELS,
WALDORF,
"WATCH,CLOCK AND JEWELRY REPAIR SHOPS",
WELDING SERVICES,
WESTIN HOTELS,
WESTJET AIRLINES,
WHOLESALE CLUBS,
WIG AND TOUPEE SHOPS,
WOMEN'S ACCESSORY AND SPECIALTY STORES,
WOMEN'S READY-TO-WEAR STORES,
WRECKING AND SALVAGE YARDS,
WYNDHAM HOTELS,
WYNN LAS VEGAS,
Grand Total,10
